time, latitude, longitude, course, speed, altitude, satellites, interior temp, exterior temp
140934, 39 39.4089, -77 56.1486, 184.2, 1.154, 000598, 05, 32, 31
141036, 39 39.4100, -77 56.1501, 135.3, 0.097, 000584, 06, 33, 31
141138, 39 39.4085, -77 56.1473, 121.1, 0.894, 000601, 07, 33, 30
141241, 39 39.4096, -77 56.1512, 106.3, 0.129, 000575, 08, 34, 31
141343, 39 39.4076, -77 56.1460, 174.4, 1.392, 000604, 08, 34, 33
141445, 39 39.4090, -77 56.1465, 82.87, 0.214, 000611, 08, 35, 37
141547, 39 39.4063, -77 56.1467, 295.6, 0.515, 000607, 08, 35, 37
141649, 39 39.4089, -77 56.1463, 28.89, 0.461, 000595, 09, 37, 35
141751, 39 39.4078, -77 56.1475, 85.36, 0.215, 000601, 09, 37, 33
141853, 39 39.4076, -77 56.1474, 33.45, 0.177, 000595, 09, 37, 32
141955, 39 39.4082, -77 56.1471, 51.06, 0.805, 000595, 09, 37, 32
142057, 39 39.4068, -77 56.1457, 183.0, 0.257, 000595, 09, 36, 32
142200, 39 39.4085, -77 56.1477, 332.5, 0.112, 000587, 09, 36, 31
142302, 39 39.4081, -77 56.1475, 286.2, 0.857, 000565, 08, 36, 30               
142404, 39 39.4077, -77 56.1453, 222.2, 0.150, 000595, 09, 36, 30               
142506, 39 39.4092, -77 56.1463, 302.5, 0.239, 000587, 09, 35, 30               
142608, 39 39.4077, -77 56.1470, 19.29, 2.411, 000595, 09, 35, 31               
142711, 39 39.4098, -77 56.1467, 113.3, 0.158, 000598, 10, 36, 30               
142813, 39 39.4080, -77 56.1488, 127.1, 0.459, 000601, 10, 37, 30               
142915, 39 39.4088, -77 56.1485, 149.8, 0.636, 000607, 10, 36, 28               
143017, 39 39.4095, -77 56.1489, 155.1, 0.668, 000584, 10, 37, 30               
143119, 39 39.4089, -77 56.1510, 199.5, 0.631, 000611, 10, 37, 30               
143222, 39 39.4079, -77 56.1511, 172.0, 0.513, 000587, 10, 38, 30               
143324, 39 39.4096, -77 56.1500, 112.6, 0.309, 000587, 10, 37, 32               
143426, 39 39.4083, -77 56.1506, 133.1, 1.610, 000591, 09, 38, 36               
143528, 39 39.4036, -77 56.1616, 224.8, 0.209, 000598, 10, 38, 44               
143631, 39 39.4040, -77 56.1605, 73.78, 0.135, 000604, 11, 38, 47               
143733, 39 39.4033, -77 56.1614, 154.8, 0.032, 000598, 12, 38, 49               
143835, 39 39.4039, -77 56.1603, 157.6, 0.223, 000598, 12, 39, 49               
143937, 39 39.4038, -77 56.1599, 112.1, 0.151, 000595, 12, 38, 48               
144039, 39 39.4039, -77 56.1614, 161.6, 0.196, 000604, 12, 39, 50               
144142, 39 39.4044, -77 56.1585, 130.0, 0.325, 000598, 12, 40, 47               
144244, 39 39.4042, -77 56.1575, 179.1, 0.294, 000598, 12, 40, 48               
144346, 39 39.4049, -77 56.1577, 166.6, 0.185, 000595, 12, 40, 49               
144448, 39 39.4036, -77 56.1582, 181.8, 1.555, 000607, 12, 40, 50               
144550, 39 39.4048, -77 56.1592, 164.1, 0.092, 000575, 11, 40, 48               
144653, 39 39.4051, -77 56.1582, 216.3, 0.065, 000587, 12, 41, 49               
144755, 39 39.4037, -77 56.1588, 180.4, 0.166, 000601, 11, 41, 49               
144857, 39 39.4148, -77 56.2007, 294.8, 18.99, 001669, 11, 41, 26               
144959, 39 39.5589, -77 56.2269, 25.98, 3.933, 002941, 12, 41, 25               
145101, 39 39.8259, -77 56.1888, 321.5, 24.74, 004166, 12, 41, 23               
145204, 39 40.1823, -77 56.1004, 351.7, 8.424, 005437, 12, 41, 21               
145306, 39 40.4212, -77 56.0019, 58.17, 16.47, 006708, 12, 41, 18               
145408, 39 40.5664, -77 55.8124, 12.00, 12.93, 007987, 12, 41, 16               
145510, 39 40.7058, -77 55.5137, 52.36, 21.78, 009253, 10, 40, 13               
145613, 39 40.9180, -77 55.4921, 338.0, 24.90, 010565, 10, 40, 13               
145715, 39 41.1706, -77 55.6010, 2.435, 8.570, 011954, 10, 40, 11               
145817, 39 41.4769, -77 55.6527, 36.49, 13.00, 013344, 10, 40, 9                
145919, 39 41.7562, -77 55.4631, 34.58, 9.047, 014738, 10, 38, 6                
150021, 39 41.9460, -77 55.0365, 77.05, 36.92, 016114, 09, 39, 4                
150124, 39 42.1467, -77 54.3257, 57.13, 34.37, 017564, 10, 38, 3                
150226, 39 42.2819, -77 53.6742, 86.07, 40.74, 019052, 11, 38, 1                
150328, 39 42.4512, -77 52.9711, 91.21, 32.74, 020541, 11, 37, -0               
150430, 39 42.6025, -77 52.2736, 80.07, 41.22, 022039, 11, 36, -4               
150532, 39 42.6743, -77 51.5417, 65.36, 34.37, 023550, 10, 36, -6               
150635, 39 42.6678, -77 50.8225, 94.57, 22.99, 025079, 10, 35, -12              
150737, 39 42.6507, -77 50.0660, 72.93, 40.61, 026622, 10, 34, -12              
150839, 39 42.6114, -77 49.3266, 92.98, 38.82, 028147, 10, 34, -13              
150941, 39 42.6069, -77 48.6400, 93.45, 19.56, 029671, 10, 33, -16              
151043, 39 42.5526, -77 47.8931, 113.6, 27.47, 031222, 11, 32, -18              
151146, 39 42.4492, -77 47.1934, 89.68, 40.53, 032792, 11, 31, -21              
151248, 39 42.1545, -77 46.4209, 117.9, 47.79, 034445, 11, 31, -23              
151350, 39 41.7786, -77 45.6145, 140.0, 57.38, 036037, 11, 30, -28              
151452, 39 41.2570, -77 44.7347, 127.7, 55.72, 037635, 11, 29, -30              
151555, 39 40.6758, -77 43.7182, 109.3, 53.51, 039380, 11, 28, -33              
151657, 39 40.1338, -77 42.5237, 118.4, 66.01, 041111, 11, 28, -36              
151759, 39 39.5941, -77 41.2415, 125.6, 72.19, 042877, 09, 27, -39              
151901, 39 38.9303, -77 40.1436, 125.6, 53.09, 044556, 09, 26, -46              
152003, 39 38.1639, -77 39.3311, 126.8, 44.18, 046366, 11, 25, -47              
152106, 39 37.7183, -77 38.7550, 108.2, 47.82, 048212, 12, 24, -48              
152208, 39 37.4419, -77 37.9832, 102.1, 22.39, 050031, 12, 23, -49              
152310, 39 37.1772, -77 37.2688, 111.5, 35.97, 051995, 12, 22, -49              
152412, 39 36.9633, -77 36.8379, 143.2, 17.36, 053864, 12, 21, -48              
152515, 39 36.7119, -77 36.4090, 124.5, 33.38, 055926, 12, 20, -45              
152617, 39 36.4496, -77 36.1579, 108.0, 23.86, 058067, 12, 19, -45              
152719, 39 36.2036, -77 35.9844, 133.3, 22.98, 055683, 12, 18, -37              
152821, 39 35.9495, -77 35.5427, 118.5, 41.01, 051428, 12, 17, -35              
152924, 39 35.6791, -77 34.8037, 127.0, 29.09, 047481, 11, 17, -35              
153026, 39 35.0049, -77 34.0554, 125.8, 64.74, 043789, 11, 16, -34              
153128, 39 34.4478, -77 32.8181, 120.5, 69.10, 040432, 10, 15, -30              
153230, 39 33.8767, -77 31.7940, 128.7, 47.42, 037287, 10, 14, -26              
153332, 39 33.4527, -77 31.0044, 121.8, 35.26, 034259, 10, 13, -20              
153435, 39 33.2375, -77 30.3400, 92.77, 30.55, 031334, 10, 12, -16              
153537, 39 33.1996, -77 29.6471, 92.95, 30.33, 028599, 10, 11, -14              
153639, 39 33.1934, -77 28.9180, 97.26, 34.92, 025996, 10, 10, -12              
153741, 39 33.1700, -77 28.2029, 91.91, 28.08, 023494, 10, 8, -8                
153844, 39 33.2476, -77 27.4821, 75.76, 34.36, 021026, 11, 8, -4                
153946, 39 33.3725, -77 26.8047, 76.99, 25.86, 018688, 11, 7, -0                
154048, 39 33.4931, -77 26.1631, 81.17, 29.24, 016420, 11, 7, 3                 
154150, 39 33.6523, -77 25.7399, 24.24, 14.73, 014245, 11, 6, 6                 
154252, 39 33.9149, -77 25.7260, 330.5, 13.12, 012157, 11, 6, 10                
154355, 39 34.1492, -77 25.8570, 9.244, 12.70, 010128, 12, 6, 13                
154457, 39 34.2505, -77 25.6864, 62.58, 15.57, 008204, 12, 6, 15                
154559, 39 34.3971, -77 25.5011, 47.01, 14.54, 006312, 12, 6, 18                
154621, 39 34.4648, -77 25.4630, 32.87, 13.97, 005642, 12, 6, 19                
154643, 39 34.5600, -77 25.4284, 14.31, 24.87, 004971, 12, 6, 20                
154705, 39 34.6871, -77 25.3835, 6.198, 19.86, 004312, 12, 6, 21                
154727, 39 34.8190, -77 25.3465, 22.63, 17.98, 003660, 12, 6, 22                
154749, 39 34.9352, -77 25.3082, 17.60, 24.07, 003010, 12, 6, 23                
154811, 39 35.0428, -77 25.2795, 12.32, 17.93, 002379, 12, 7, 24                
154833, 39 35.1012, -77 25.2794, 311.4, 5.557, 001732, 12, 7, 25                
154855, 39 35.1303, -77 25.2675, 344.6, 9.428, 001044, 12, 7, 26                
154917, 39 35.1553, -77 25.2682, 43.77, 3.727, 000440, 12, 8, 27                
154939, 39 35.1504, -77 25.2659, 45.93, 0.041, 000489, 12, 8, 27                
155001, 39 35.1491, -77 25.2670, 45.64, 0.359, 000508, 12, 8, 27                
155023, 39 35.1493, -77 25.2680, 33.27, 0.284, 000527, 12, 8, 28                
155044, 39 35.1499, -77 25.2687, 37.13, 0.692, 000530, 12, 8, 28                
155106, 39 35.1499, -77 25.2687, 39.53, 0.971, 000519, 11, 8, 28                
155128, 39 35.1498, -77 25.2682, 40.63, 0.457, 000508, 12, 8, 28                
155150, 39 35.1512, -77 25.2672, 33.05, 0.705, 000489, 12, 8, 29                
155212, 39 35.1508, -77 25.2666, 31.77, 0.684, 000501, 12, 12, 28               
155234, 39 35.1500, -77 25.2660, 39.15, 0.354, 000508, 12, 9, 28                
155256, 39 35.1500, -77 25.2673, 39.07, 0.288, 000515, 12, 9, 28                
155318, 39 35.1498, -77 25.2677, 41.48, 0.496, 000519, 12, 10, 29               
155340, 39 35.1507, -77 25.2694, 35.84, 0.319, 000527, 11, 10, 28               
155402, 39 35.1507, -77 25.2690, 40.84, 0.377, 000527, 12, 10, 28               
155424, 39 35.1512, -77 25.2689, 34.43, 0.595, 000533, 12, 11, 28               
155446, 39 35.1493, -77 25.2682, 54.45, 0.416, 000536, 12, 10, 28               
155508, 39 35.1475, -77 25.2680, 52.35, 0.369, 000543, 12, 11, 29               
155530, 39 35.1496, -77 25.2679, 48.04, 0.545, 000530, 12, 11, 30               
155552, 39 35.1522, -77 25.2667, 46.86, 0.496, 000511, 12, 11, 30               
155614, 39 35.1508, -77 25.2677, 60.44, 0.625, 000515, 12, 11, 30               
155636, 39 35.1491, -77 25.2677, 63.34, 0.078, 000539, 12, 11, 30               
155658, 39 35.1493, -77 25.2683, 54.31, 0.549, 000546, 12, 12, 30               
155720, 39 35.1493, -77 25.2688, 46.77, 0.456, 000530, 12, 12, 30               
155742, 39 35.1498, -77 25.2665, 50.18, 0.673, 000508, 12, 12, 30               
155804, 39 35.1510, -77 25.2632, 46.46, 0.464, 000473, 12, 12, 30               
155826, 39 35.1518, -77 25.2616, 50.66, 0.358, 000473, 11, 13, 30               
155848, 39 35.1506, -77 25.2659, 43.77, 0.152, 000508, 11, 13, 31               
155910, 39 35.1496, -77 25.2675, 43.81, 0.246, 000485, 11, 13, 31               
155932, 39 35.1478, -77 25.2680, 59.44, 0.074, 000523, 12, 13, 31               
155954, 39 35.1496, -77 25.2677, 51.67, 0.201, 000530, 11, 14, 31               
160016, 39 35.1495, -77 25.2691, 46.02, 0.115, 000546, 11, 14, 32               
160038, 39 35.1476, -77 25.2694, 45.59, 0.239, 000546, 11, 14, 32               
160100, 39 35.1498, -77 25.2687, 39.91, 0.352, 000523, 11, 14, 32               
160122, 39 35.1483, -77 25.2706, 35.11, 0.191, 000555, 11, 14, 32               
160144, 39 35.1494, -77 25.2692, 32.55, 0.484, 000543, 12, 14, 33               
160206, 39 35.1494, -77 25.2670, 33.50, 0.457, 000511, 11, 15, 35               
160228, 39 35.1503, -77 25.2665, 33.38, 0.250, 000511, 11, 15, 37               
160250, 39 35.1481, -77 25.2673, 47.18, 0.115, 000536, 11, 15, 38               
160312, 39 35.1473, -77 25.2682, 22.94, 0.038, 000549, 11, 15, 40               
160334, 39 35.1483, -77 25.2672, 27.34, 0.442, 000536, 11, 16, 42               
160355, 39 35.1494, -77 25.2666, 26.03, 0.355, 000519, 11, 16, 43               
160417, 39 35.1485, -77 25.2658, 24.16, 0.351, 000515, 11, 17, 45               
160439, 39 35.1506, -77 25.2646, 27.75, 0.661, 000511, 11, 17, 47               
160501, 39 35.1499, -77 25.2664, 13.43, 0.520, 000515, 11, 17, 48               
160523, 39 35.1493, -77 25.2680, 5.591, 0.277, 000523, 10, 17, 50               
160545, 39 35.1476, -77 25.2663, 7.074, 0.208, 000530, 10, 17, 50               
160607, 39 35.1488, -77 25.2672, 14.86, 0.585, 000519, 10, 17, 50               
160629, 39 35.1483, -77 25.2665, 30.77, 0.347, 000530, 11, 18, 52               
160651, 39 35.1469, -77 25.2664, 31.65, 0.255, 000523, 11, 18, 51               
160713, 39 35.1486, -77 25.2663, 31.66, 0.285, 000508, 11, 18, 51               
160735, 39 35.1480, -77 25.2646, 35.00, 0.286, 000495, 10, 18, 52               
160757, 39 35.1488, -77 25.2658, 39.49, 0.271, 000501, 10, 19, 51               
160819, 39 35.1491, -77 25.2671, 50.31, 0.338, 000527, 11, 19, 51               
160841, 39 35.1469, -77 25.2664, 63.08, 0.058, 000508, 11, 19, 52               
160903, 39 35.1464, -77 25.2685, 89.19, 0.157, 000515, 10, 19, 53               
160925, 39 35.1459, -77 25.2670, 60.89, 0.368, 000515, 10, 20, 52               
160947, 39 35.1483, -77 25.2666, 49.21, 0.443, 000515, 10, 20, 51               
161009, 39 35.1467, -77 25.2678, 71.58, 0.305, 000519, 10, 21, 52               
161031, 39 35.1478, -77 25.2673, 69.58, 0.112, 000511, 11, 20, 52               
161053, 39 35.1488, -77 25.2678, 58.25, 0.355, 000523, 11, 21, 51               
161115, 39 35.1497, -77 25.2676, 44.92, 0.330, 000523, 10, 21, 50               
161137, 39 35.1498, -77 25.2681, 50.88, 0.382, 000533, 10, 22, 50               
161159, 39 35.1502, -77 25.2683, 31.92, 0.199, 000501, 10, 21, 49               
161221, 39 35.1489, -77 25.2676, 66.36, 0.217, 000523, 10, 22, 51               
161243, 39 35.1492, -77 25.2680, 95.39, 0.201, 000523, 10, 22, 52               
161305, 39 35.1482, -77 25.2678, 102.0, 0.060, 000523, 10, 22, 51               
161327, 39 35.1494, -77 25.2668, 81.34, 0.053, 000492, 10, 23, 51               
161349, 39 35.1501, -77 25.2679, 76.12, 0.098, 000505, 10, 23, 51               
161411, 39 35.1490, -77 25.2675, 134.2, 0.113, 000523, 10, 23, 51               
161433, 39 35.1476, -77 25.2680, 150.2, 0.052, 000515, 10, 23, 51               
161455, 39 35.1488, -77 25.2680, 117.7, 0.334, 000508, 10, 24, 51               
161517, 39 35.1497, -77 25.2652, 106.5, 0.594, 000495, 10, 24, 51               
161539, 39 35.1493, -77 25.2675, 160.2, 0.052, 000505, 10, 24, 51               
161601, 39 35.1492, -77 25.2684, 175.7, 0.078, 000505, 10, 25, 51               
161623, 39 35.1488, -77 25.2674, 166.9, 0.070, 000505, 10, 25, 52               
161645, 39 35.1505, -77 25.2680, 158.4, 0.224, 000508, 10, 25, 52               
161707, 39 35.1495, -77 25.2686, 188.4, 0.141, 000530, 10, 25, 51               
161729, 39 35.1478, -77 25.2689, 221.8, 0.348, 000515, 10, 26, 49               
161750, 39 35.1479, -77 25.2690, 204.7, 0.174, 000515, 10, 26, 51               
161812, 39 35.1481, -77 25.2690, 212.6, 0.205, 000527, 10, 26, 51               
161834, 39 35.1491, -77 25.2689, 224.5, 0.239, 000539, 10, 27, 50               
161856, 39 35.1490, -77 25.2695, 223.5, 0.136, 000527, 10, 27, 51               
161918, 39 35.1499, -77 25.2680, 205.0, 0.321, 000523, 10, 27, 51               
161940, 39 35.1498, -77 25.2685, 232.6, 0.023, 000519, 10, 27, 50               
162002, 39 35.1496, -77 25.2689, 243.1, 0.079, 000523, 10, 27, 50               
162024, 39 35.1498, -77 25.2666, 229.6, 0.130, 000501, 10, 28, 51               
162046, 39 35.1503, -77 25.2673, 262.4, 0.378, 000508, 09, 28, 50               
162108, 39 35.1494, -77 25.2662, 237.6, 0.132, 000495, 10, 28, 50               
162130, 39 35.1506, -77 25.2666, 233.5, 0.079, 000501, 10, 28, 51               
162152, 39 35.1529, -77 25.2629, 199.1, 0.214, 000492, 10, 28, 52               
162214, 39 35.1508, -77 25.2646, 208.0, 0.086, 000501, 11, 28, 52               
162236, 39 35.1469, -77 25.2677, 183.5, 1.130, 000508, 10, 28, 48               
162258, 39 35.1337, -77 25.2698, 178.4, 0.737, 000536, 11, 29, 43               
162320, 39 35.1230, -77 25.2622, 276.6, 2.802, 000505, 11, 28, 39               
162342, 39 35.1138, -77 25.3122, 263.5, 2.645, 000527, 11, 29, 38               
162404, 39 35.1124, -77 25.3152, 279.9, 0.297, 000530, 10, 30, 42               
162426, 39 35.1112, -77 25.3135, 184.1, 0.668, 000515, 09, 30, 40               
162448, 39 35.1136, -77 25.3141, 281.8, 0.241, 000515, 10, 30, 37               
162510, 39 35.1100, -77 25.3288, 252.2, 13.99, 000519, 10, 30, 34               
162532, 39 35.0903, -77 25.4702, 275.1, 19.90, 000533, 11, 30, 33               
162554, 39 35.1177, -77 25.6699, 272.8, 28.89, 000598, 10, 30, 24               
162616, 39 35.1015, -77 25.9082, 255.5, 25.52, 000519, 10, 30, 21               
162638, 39 35.0859, -77 26.0039, 101.8, 2.989, 000495, 10, 30, 22
